Chunk Start Time (s),Mood,Color (RGB),Loudness (dB),Energy Level
0.00,Depression,"(75, 0, 130)",-30.00,low
2.50,Depression,"(75, 0, 130)",-30.00,low
5.00,Depression,"(75, 0, 130)",-30.00,low
7.50,Depression,"(75, 0, 130)",-30.00,low
10.00,Depression,"(75, 0, 130)",-30.00,low
12.50,Depression,"(75, 0, 130)",-30.00,low
15.00,Depression,"(75, 0, 130)",-30.00,low
17.50,Depression,"(75, 0, 130)",-30.00,low
20.00,Depression,"(75, 0, 130)",-30.00,low
22.50,Depression,"(75, 0, 130)",-30.00,low
25.00,Depression,"(75, 0, 130)",-30.00,low
27.50,Depression,"(75, 0, 130)",-30.00,low
30.00,Depression,"(75, 0, 130)",-30.00,low
32.50,Depression,"(75, 0, 130)",-30.00,low
35.00,Depression,"(75, 0, 130)",-30.00,low
37.50,Depression,"(75, 0, 130)",-30.00,low
