Chunk Start Time (s),Mood,Color (RGB),Loudness (dB),Energy Level
0.00,Depression,"(0, 0, 255)",41.71,high
2.50,Depression,"(0, 0, 255)",69.92,high
5.00,Depression,"(0, 0, 255)",75.67,high
7.50,Depression,"(0, 0, 255)",113.85,high
10.00,Depression,"(0, 0, 255)",125.13,high
12.50,Depression,"(0, 0, 255)",114.57,high
15.00,Depression,"(0, 0, 255)",116.20,high
17.50,Depression,"(0, 0, 255)",139.69,high
20.00,Depression,"(0, 0, 255)",182.98,high
22.50,Depression,"(0, 0, 255)",318.32,high
25.00,Depression,"(0, 0, 255)",518.38,high
27.50,Depression,"(0, 0, 255)",598.42,high
30.00,Depression,"(0, 0, 255)",524.61,high
32.50,Depression,"(0, 0, 255)",554.77,high
35.00,Depression,"(0, 0, 255)",652.42,high
37.50,Depression,"(0, 0, 255)",597.38,high
40.00,Depression,"(0, 0, 255)",540.81,high
42.50,Depression,"(0, 0, 255)",596.92,high
45.00,Depression,"(0, 0, 255)",675.97,high
47.50,Depression,"(0, 0, 255)",705.83,high
50.00,Depression,"(0, 0, 255)",736.66,high
52.50,Depression,"(0, 0, 255)",762.63,high
55.00,Depression,"(0, 0, 255)",738.74,high
57.50,Depression,"(0, 0, 255)",690.23,high
60.00,Depression,"(0, 0, 255)",755.38,high
62.50,Depression,"(0, 0, 255)",778.43,high
