Chunk Start Time (s),Mood,Color (RGB),Loudness (dB),Energy Level
0.00,Depression,"(0, 128, 0)",116.66,high
2.50,Depression,"(0, 128, 0)",183.28,high
5.00,Depression,"(0, 128, 0)",169.15,high
7.50,Depression,"(0, 128, 0)",143.76,high
10.00,Depression,"(0, 128, 0)",137.96,high
12.50,Depression,"(0, 128, 0)",137.13,high
15.00,Depression,"(0, 128, 0)",135.43,high
17.50,Depression,"(0, 128, 0)",160.56,high
20.00,Depression,"(0, 128, 0)",184.89,high
22.50,Depression,"(0, 128, 0)",200.70,high
25.00,Depression,"(0, 128, 0)",184.40,high
27.50,Depression,"(0, 128, 0)",155.29,high
30.00,Depression,"(0, 128, 0)",165.37,high
32.50,Depression,"(0, 128, 0)",167.34,high
35.00,Depression,"(0, 128, 0)",159.24,high
37.50,Depression,"(0, 128, 0)",163.77,high
40.00,Depression,"(0, 128, 0)",193.29,high
42.50,Depression,"(0, 128, 0)",206.90,high
45.00,Depression,"(0, 128, 0)",191.50,high
47.50,Depression,"(0, 128, 0)",164.52,high
50.00,Depression,"(0, 128, 0)",165.37,high
52.50,Depression,"(0, 128, 0)",160.86,high
55.00,Depression,"(0, 128, 0)",165.73,high
57.50,Depression,"(0, 128, 0)",233.55,high
60.00,Depression,"(0, 128, 0)",341.38,high
62.50,Depression,"(0, 128, 0)",393.77,high
65.00,Depression,"(0, 128, 0)",414.15,high
67.50,Depression,"(0, 128, 0)",427.79,high
70.00,Depression,"(0, 128, 0)",437.52,high
72.50,Depression,"(0, 128, 0)",448.71,high
75.00,Depression,"(0, 128, 0)",426.64,high
77.50,Depression,"(0, 128, 0)",425.29,high
80.00,Depression,"(0, 128, 0)",414.31,high
82.50,Depression,"(0, 128, 0)",373.64,high
85.00,Depression,"(0, 128, 0)",301.93,high
87.50,Depression,"(0, 128, 0)",229.13,high
90.00,Depression,"(0, 128, 0)",190.50,high
92.50,Depression,"(0, 128, 0)",201.29,high
95.00,Depression,"(0, 128, 0)",203.10,high
97.50,Depression,"(0, 128, 0)",201.47,high
100.00,Depression,"(0, 128, 0)",210.36,high
