Chunk Start Time (s),Mood,Color (RGB),Loudness (dB),Energy Level
0.00,Depression,"(75, 0, 130)",116.66,high
2.50,Depression,"(75, 0, 130)",183.28,high
5.00,Depression,"(75, 0, 130)",169.15,high
7.50,Depression,"(75, 0, 130)",143.76,high
10.00,Depression,"(75, 0, 130)",137.96,high
12.50,Depression,"(75, 0, 130)",137.13,high
15.00,Depression,"(75, 0, 130)",135.43,high
17.50,Depression,"(75, 0, 130)",160.56,high
20.00,Depression,"(75, 0, 130)",184.89,high
22.50,Depression,"(75, 0, 130)",200.70,high
25.00,Depression,"(75, 0, 130)",184.40,high
27.50,Depression,"(75, 0, 130)",155.29,high
30.00,Depression,"(75, 0, 130)",165.37,high
32.50,Depression,"(75, 0, 130)",167.34,high
35.00,Depression,"(75, 0, 130)",159.24,high
37.50,Depression,"(75, 0, 130)",163.77,high
40.00,Depression,"(75, 0, 130)",193.29,high
42.50,Depression,"(75, 0, 130)",206.90,high
45.00,Depression,"(75, 0, 130)",191.50,high
47.50,Depression,"(75, 0, 130)",164.52,high
50.00,Depression,"(75, 0, 130)",165.37,high
52.50,Depression,"(75, 0, 130)",160.86,high
55.00,Depression,"(75, 0, 130)",165.73,high
57.50,Depression,"(75, 0, 130)",233.55,high
60.00,Depression,"(75, 0, 130)",341.38,high
62.50,Depression,"(75, 0, 130)",393.77,high
65.00,Depression,"(75, 0, 130)",414.15,high
67.50,Depression,"(75, 0, 130)",427.79,high
70.00,Depression,"(75, 0, 130)",437.52,high
72.50,Depression,"(75, 0, 130)",448.71,high
75.00,Depression,"(75, 0, 130)",426.64,high
