Chunk Start Time (s),Mood,Color (RGB),Loudness (dB),Energy Level
0.00,Depression,"(75, 0, 130)",-23.78,medium
2.50,Depression,"(75, 0, 130)",-20.37,medium
5.00,Depression,"(75, 0, 130)",-20.07,medium
7.50,Depression,"(75, 0, 130)",-20.30,medium
10.00,Depression,"(75, 0, 130)",-20.50,medium
12.50,Depression,"(75, 0, 130)",-20.32,medium
15.00,Depression,"(75, 0, 130)",-17.72,medium
17.50,Depression,"(75, 0, 130)",-16.18,medium
20.00,Depression,"(75, 0, 130)",-16.25,medium
22.50,Depression,"(75, 0, 130)",-16.15,medium
25.00,Depression,"(75, 0, 130)",-16.04,medium
27.50,Depression,"(75, 0, 130)",-15.56,medium
30.00,Depression,"(75, 0, 130)",-14.89,high
32.50,Depression,"(75, 0, 130)",-14.72,high
35.00,Depression,"(75, 0, 130)",-14.90,high
37.50,Depression,"(75, 0, 130)",-15.07,medium
40.00,Depression,"(75, 0, 130)",-15.01,medium
42.50,Depression,"(75, 0, 130)",-14.99,high
45.00,Depression,"(75, 0, 130)",-14.35,high
47.50,Depression,"(75, 0, 130)",-14.23,high
50.00,Depression,"(75, 0, 130)",-15.11,medium
52.50,Depression,"(75, 0, 130)",-15.26,medium
55.00,Depression,"(75, 0, 130)",-15.25,medium
57.50,Depression,"(75, 0, 130)",-15.34,medium
60.00,Depression,"(75, 0, 130)",-15.34,medium
62.50,Depression,"(75, 0, 130)",-15.44,medium
65.00,Depression,"(75, 0, 130)",-15.53,medium
67.50,Depression,"(75, 0, 130)",-15.47,medium
70.00,Depression,"(75, 0, 130)",-15.21,medium
72.50,Depression,"(75, 0, 130)",-15.17,medium
75.00,Depression,"(75, 0, 130)",-14.97,high
77.50,Depression,"(75, 0, 130)",-14.48,high
80.00,Depression,"(75, 0, 130)",-14.53,high
82.50,Depression,"(75, 0, 130)",-14.93,high
85.00,Depression,"(75, 0, 130)",-14.51,high
87.50,Depression,"(75, 0, 130)",-14.41,high
90.00,Depression,"(75, 0, 130)",-15.09,medium
92.50,Depression,"(75, 0, 130)",-15.51,medium
95.00,Depression,"(75, 0, 130)",-15.66,medium
97.50,Depression,"(75, 0, 130)",-15.47,medium
100.00,Depression,"(75, 0, 130)",-15.34,medium
102.50,Depression,"(75, 0, 130)",-15.51,medium
105.00,Depression,"(75, 0, 130)",-15.15,medium
107.50,Depression,"(75, 0, 130)",-14.91,high
110.00,Depression,"(75, 0, 130)",-15.37,medium
112.50,Depression,"(75, 0, 130)",-15.95,medium
115.00,Depression,"(75, 0, 130)",-16.11,medium
117.50,Depression,"(75, 0, 130)",-15.61,medium
120.00,Depression,"(75, 0, 130)",-15.63,medium
122.50,Depression,"(75, 0, 130)",-15.36,medium
125.00,Depression,"(75, 0, 130)",-15.04,medium
127.50,Depression,"(75, 0, 130)",-15.14,medium
130.00,Depression,"(75, 0, 130)",-15.10,medium
132.50,Depression,"(75, 0, 130)",-15.16,medium
135.00,Depression,"(75, 0, 130)",-14.75,high
137.50,Depression,"(75, 0, 130)",-14.24,high
