Chunk Index,Mood,Color_R,Color_G,Color_B
1,Excitement,255,69,0
2,Excitement,255,69,0
3,Displeasure,128,0,128
4,Excitement,255,69,0
5,Displeasure,128,0,128
6,Excitement,255,69,0
7,Excitement,255,69,0
8,Displeasure,128,0,128
9,Excitement,255,69,0
10,Excitement,255,69,0
11,Displeasure,128,0,128
12,Excitement,255,69,0
13,Displeasure,128,0,128
14,Excitement,255,69,0
15,Excitement,255,69,0
16,Displeasure,128,0,128
17,Displeasure,128,0,128
18,Excitement,255,69,0
19,Arousal,255,0,0
20,Excitement,255,69,0
21,Arousal,255,0,0
22,Excitement,255,69,0
23,Excitement,255,69,0
24,Excitement,255,69,0
25,Excitement,255,69,0
26,Excitement,255,69,0
27,Excitement,255,69,0
28,Displeasure,128,0,128
29,Excitement,255,69,0
30,Arousal,255,0,0
31,Excitement,255,69,0
32,Displeasure,128,0,128
33,Excitement,255,69,0
34,Displeasure,128,0,128
35,Excitement,255,69,0
36,Displeasure,128,0,128
37,Excitement,255,69,0
38,Displeasure,128,0,128
39,Excitement,255,69,0
40,Excitement,255,69,0
41,Displeasure,128,0,128
42,Displeasure,128,0,128
43,Excitement,255,69,0
44,Arousal,255,0,0
45,Excitement,255,69,0
46,Excitement,255,69,0
47,Excitement,255,69,0
48,Excitement,255,69,0
49,Displeasure,128,0,128
50,Displeasure,128,0,128
51,Excitement,255,69,0
52,Excitement,255,69,0
53,Displeasure,128,0,128
54,Excitement,255,69,0
55,Arousal,255,0,0
56,Excitement,255,69,0
57,Excitement,255,69,0
58,Excitement,255,69,0
59,Displeasure,128,0,128
60,Excitement,255,69,0
61,Excitement,255,69,0
62,Displeasure,128,0,128
63,Displeasure,128,0,128
64,Excitement,255,69,0
65,Displeasure,128,0,128
66,Excitement,255,69,0
67,Displeasure,128,0,128
68,Excitement,255,69,0
69,Excitement,255,69,0
70,Displeasure,128,0,128
71,Displeasure,128,0,128
72,Excitement,255,69,0
73,Excitement,255,69,0
74,Excitement,255,69,0
75,Excitement,255,69,0
76,Displeasure,128,0,128
77,Excitement,255,69,0
78,Displeasure,128,0,128
79,Excitement,255,69,0
80,Excitement,255,69,0
81,Excitement,255,69,0
82,Displeasure,128,0,128
83,Displeasure,128,0,128
84,Excitement,255,69,0
85,Excitement,255,69,0
86,Displeasure,128,0,128
87,Excitement,255,69,0
88,Displeasure,128,0,128
89,Excitement,255,69,0
90,Excitement,255,69,0
91,Excitement,255,69,0
92,Excitement,255,69,0
93,Excitement,255,69,0
94,Excitement,255,69,0
95,Excitement,255,69,0
